,company_name,company_type,company_loc,company_size,job_name,job_salary,edu_level,emp_type,company_score,No
175,中国联通,国企,深圳,10000人以上,数据分析岗,校招,,校园,340.85175,176.0
176,中国联通,国企,佛山,10000人以上,数据挖掘岗,校招,,校园,340.85175,177.0
177,中通快递,民营,上海,10000人以上,数据分析师,校招,本科,校园,340.64148,178.0
178,珠海华润银行,国企,珠海,1000-9999人,数据开发工程师（珠海）,校招,本科,校园,340.64148,179.0
179,珠海华润银行,国企,深圳,1000-9999人,数据开发工程师（深圳）,校招,本科,校园,340.64148,180.0
180,深圳人才专列活动,民营,全国,100-499人,数据分析师,校招,,校园,340.4258,181.0
181,北京风行,民营,北京,500-999人,数据开发工程师,校招,本科,校园,340.4258,182.0
182,北京风行,民营,武汉,500-999人,数据开发工程师,校招,本科,校园,340.4258,183.0
183,深圳人才专列活动,民营,深圳,100-499人,数据分析师,校招,,校园,340.4258,184.0
184,江西联通,国企,抚州,1000-9999人,大数据分析支撑,校招,,校园,340.35394,185.0
185,江西联通,国企,景德镇,1000-9999人,数据分析,校招,,校园,340.35394,186.0
186,江西联通,国企,鹰潭,1000-9999人,大数据分析岗,校招,,校园,340.35394,187.0
187,厦门人才服务中心,国企,厦门,500-999人,大数据分析师,校招,,校园,340.2821,188.0
188,东方国际,国企,上海-长宁区,10000人以上,信息管理部——数据管理工程师,校招,本科,校园,340.06665,189.0
189,浙江吉利控股集团有限公司,民营,杭州,10000人以上,数据分析部经理（高级专家）(J11420),薪资面议,本科,全职,340.0,190.0
190,广州迈安信息科技有限公司,民营,广州-番禺区,20-99人,数据分析软件开发工程师,8K-10K,本科,全职,340.0,191.0
191,国汽智联,国企,北京,500-999人,人机交互数据分析师,校招,,校园,339.99487,192.0
192,国汽智联,国企,北京,500-999人,场景数据采集工程师,校招,,校园,339.99487,193.0
193,复星一家,民营,全国,500-999人,数据分析师,校招,,校园,339.92313,194.0
194,广州赛意信息科技股份有限公司,上市公司,深圳-龙华新区,1000-9999人,SAS数据分析顾问,1K以下,大专,全职,339.716,195.0
195,中国移动,国企,石家庄,1000-9999人,数据分析-河北分公司-石家庄,校招,本科,校园,339.56454,196.0
196,中国移动,国企,兰州,1000-9999人,技术支撑(数据分析)甘肃分公司-兰州,校招,本科,校园,339.56454,197.0
197,中国移动,国企,昆明,1000-9999人,数据分析-云南分公司-昆明,校招,本科,校园,339.56454,198.0
198,中国移动,国企,成都,1000-9999人,数据分析-四川分公司-成都,校招,本科,校园,339.56454,199.0
199,中国移动,国企,重庆,1000-9999人,产品开发-重庆分公司-重庆,校招,,校园,339.56454,200.0
200,中国移动,国企,海口,1000-9999人,数据分析-海南分公司-海口,校招,,校园,339.56454,201.0
201,厦门银行股份有限公司,国企,厦门,1000-9999人,总行大数据分析岗,校招,本科,校园,339.42123,202.0
202,北京,其它,北京,500-999人,数据分析师,校招,,校园,338.41974,203.0
203,联通支付,国企,北京,500-999人,大数据分析,校招,,校园,338.27692,204.0
204,中科曙光,国企,南京,1000-9999人,助理数据分析师,校招,本科,校园,338.20554,205.0
205,上海链家,合资,北京,500-999人,运营管理 数据分析岗,校招,,校园,338.06277,206.0
206,上海链家,合资,北京,500-999人,店铺管理 数据分析岗,校招,,校园,338.06277,207.0
207,上海链家,合资,成都,500-999人,经纪管理 数据分析岗,校招,,校园,338.06277,208.0
208,上海链家,合资,无锡,500-999人,数据分析岗,校招,,校园,338.06277,209.0
209,上海链家,合资,合肥,500-999人,数据分析岗,校招,,校园,338.06277,210.0
210,上海链家,合资,济南,500-999人,数据分析岗,校招,,校园,338.06277,211.0
211,周大福珠宝金行（深圳）有限公司,上市公司,深圳-盐田区,10000人以上,商业策略办公室 数据分析师,12K-18K,本科,全职,338.0,212.0
212,航天云网,国企,成都-高新区,1000-9999人,大数据分析工程师,校招,硕士,校园,337.99142,213.0
213,交科所,国企,无锡,500-999人,车辆电子数据分析鉴定,校招,硕士,校园,337.49237,214.0
214,交科所,国企,无锡,500-999人,交通管控与评价研发部--城市交通数据应用开发,校招,本科,校园,337.49237,215.0
215,交科所,国企,无锡,500-999人,软件开发工程师,校招,本科,校园,337.49237,216.0
216,交科所,国企,无锡,500-999人,数据分析师,校招,硕士,校园,337.49237,217.0
217,浙江省通信服务,国企,杭州,1000-9999人,大数据研发实习生（杭州）,校招,本科,校园,337.42114,218.0
218,浙江省通信服务,国企,武汉,1000-9999人,大数据研发实习生（武汉）,校招,本科,校园,337.42114,219.0
